Latitude,Longitude,Rainfall (mm),FloodProbability,FloodRiskLevel,RoadLevel_today,SoilMoisture_today,DrainLevel_today
26.15084992,88.65942683,299.97,0.99,Severe,0.252344546,0.2224375,0.608377508
24.40679536,90.19205636,299.92,0.335301467,Moderate,0,0.2315,0.808665245
26.95955977,74.88682416,299.91,0.263937723,Low,0.151457997,0.5268125,0.709567587
29.6941222,94.66638824,299.9,0.413747688,Moderate,0.289278109,0.763125,0.585438485
32.84058767,88.53639894,299.88,0.99,Severe,0.369298686,0.5998125,0.539892477
19.12095255,87.18065896,299.85,0.617245145,High,0.498783663,0.387,0.339201718
15.21496187,68.64526021,299.84,0.83359004,Severe,0.306557441,0.2815625,0.355843009
27.38785416,68.28339471,299.82,0.928984217,Severe,0.236307268,0.9685625,0.453221549
10.12755796,68.34826573,299.78,0.34866742,Moderate,0.416675115,0.8250625,0.222631387
10.04595185,72.9093001,299.74,0.4111252,Moderate,0.250747937,0.2954375,0.776653947
18.25084678,82.7255413,299.68,0.99,Severe,0.454649468,0.4595625,0.581580354
35.21598259,70.79126691,299.64,0.373110124,Moderate,0.372917305,0.3159375,0.33768162
26.1152435,89.94206085,299.6,0.278752714,Low,0,0.2356875,0.696869701
16.00891718,93.97008349,299.56,0.905341633,Severe,0.035456734,0.699875,0.597738979
14.77511815,96.28368662,299.53,0.95463852,Severe,0.134943845,0.5344375,0.397923952
16.27671799,91.84330427,299.52,0.493983287,Moderate,0.193401654,0.5695625,0.827092149
20.73478916,89.78791157,299.44,0.920440906,Severe,0.177076173,0.6969375,0.385794965
18.76012413,72.20206112,299.42,0.192879201,Low,0,0.5025,0.540811183
35.61554227,92.81311242,299.39,0.99,Severe,0,0.782625,0.952518363
21.56275516,86.17875502,299.39,0.503687751,Moderate,0,0.6480625,0.416316339
18.90521194,92.95015971,299.38,0.514621869,Moderate,0.069790808,0.4298125,0.475135809
18.22054921,70.21033341,299.32,0.859097225,Severe,0.153981201,0.144,0.487176961
35.06898068,82.56653785,299.27,0.945394339,Severe,0,0.4695,0.523633849
35.52043934,69.17451991,299.26,0.421307168,Moderate,0,0.7710625,0.821111012
22.9193785,71.10983825,299.25,0.520613355,Moderate,0.226306127,0.8683125,0.510619746
29.38335524,75.4525922,299.25,0.482600204,Moderate,0.285214742,0.2120625,0.684542386
15.29147441,76.55285788,299.23,0.877470571,Severe,0.513561234,0.637375,0.142032085
11.9456308,75.32852793,299.22,0.808498032,Severe,0.17409317,0.3205,0.51224352
10.91848688,85.28800379,299.21,0.173146146,Low,0,0.4960625,0.865085008
34.48397602,70.57035627,299.2,0.817883398,Severe,0,0.7153125,0.791490355
20.27738279,70.64092432,299.2,0.512306001,Moderate,0,0.7575,0.718850779
25.25881857,89.28785702,299.16,0.328231754,Low,0.231012143,0.2318125,0.684232868
9.752659803,93.20098283,299.14,0.742417151,High,0.080672402,0.150875,0.517059288
23.50922833,76.46204475,299.13,0.212800378,Low,0.392282798,0.3336875,0.384187651
22.68171573,85.44266193,299.13,0.978272291,Severe,0,0.8183125,0.736508025
11.54118751,78.89546836,299.13,0.99,Severe,0,0.1301875,0.529647464
35.87103921,76.45572632,299.12,0.99,Severe,0.193236543,0.3474375,0.527948924
18.83456413,82.63411581,299.11,0.542606839,Moderate,0.18725542,0.595375,0.587222372
8.491482282,88.92725944,299.07,0.211032658,Low,0,0.7711875,0.395223278
10.00122019,71.30420731,299.05,0.393601576,Moderate,0,0.438125,0.703693408
33.2834623,87.21895028,299.05,0.99,Severe,0.355127252,0.615625,0.694379645
27.12581229,76.62296868,299.04,0.756033596,High,0,0.455375,0.630890432
9.57562901,81.80088281,299.02,0.805370535,Severe,0,0.30075,0.416671112
21.38284647,88.73082325,298.97,0.54136167,Moderate,0.421896487,0.494625,0.723838695
36.00913727,81.12347568,298.85,0.321015877,Low,0.512924198,0.1985625,0.138590237
18.30427271,91.19846441,298.85,0.30754652,Low,0,0.3225625,0.577122883
17.87122602,77.6190173,298.83,0.99,Severe,0.025255318,0.52575,0.880611421
31.31479672,86.52227375,298.82,0.22870279,Low,0.083420616,0.155125,0.495613844
19.83317339,80.38202543,298.6,0.319194881,Low,0.144439153,0.54025,0.65570143
17.92454022,72.09044102,298.47,0.988862536,Severe,0.272020918,0.709625,0.509559921
13.56847128,75.86542409,298.38,0.942018372,Severe,0.064524912,0.7019375,0.835204612
27.60967664,79.46348244,298.34,0.129061373,Low,0,0.7496875,0.807599127
14.36229229,92.01514677,298.34,0.99,Severe,0.484403071,0.587375,0.329877284
35.04912602,77.48235107,298.33,0.982087453,Severe,0.392449532,0.43825,0.436624594
12.01297831,82.4572576,298.33,0.917832102,Severe,0.029524937,0.1584375,0.90023577
23.41219251,69.61930841,298.31,0.99,Severe,0.214239135,0.118625,0.592399031
27.60669799,71.09473418,298.23,0.99,Severe,0.565017944,0.2416875,0.330727395
26.33949144,80.5680446,298.22,0.771360076,High,0,0.001,0.608636513
25.78893029,94.24295599,298.22,0.99,Severe,0.498477518,0.5456875,0.228574289
19.66874565,75.23613387,298.2,0.635406295,High,0.122895249,0.6463125,0.37755573
9.174766015,69.62781605,298.15,0.620887943,High,0.075638618,0.4739375,0.686941124
32.30868221,71.86357569,298.11,0.456924135,Moderate,0.397846617,0.374875,0.441004558
10.84329161,69.32160313,298.09,0.926126259,Severe,0.111326971,0.3334375,0.616232974
25.26379471,75.16720703,298.09,0.967755737,Severe,0.073968614,0.5256875,0.579235093
28.76544922,72.3888965,298.08,0.371927448,Moderate,0.239964145,0.4974375,0.604163261
19.14199468,71.25413464,298.07,0.553173281,Moderate,0.318561033,0.268375,0.484720895
13.39794103,73.95246836,298.04,0.99,Severe,0.598047696,0.5024375,0.275747783
21.11432029,83.20347991,298.03,0.289660382,Low,0,0.2158125,0.521385666
11.63910261,92.63601232,297.99,0.887848276,Severe,0.133101639,0.618375,0.541984752
11.64366128,78.40847674,297.95,0.959625214,Severe,0.372733188,0.3860625,0.588842523
17.65555716,76.42459417,297.95,0.99,Severe,0.281475031,0.446875,0.597012873
25.09465329,77.59470234,297.91,0.354337976,Moderate,0,0.3841875,0.770315688
11.96968327,69.68587994,297.9,0.239658146,Low,0,0.6903125,0.750694241
12.34760539,68.1683093,297.89,0.924975263,Severe,0.352014465,0.9358125,0.484545843
12.10012307,70.06632787,297.89,0.463728497,Moderate,0,0.19825,0.650952526
21.04747065,78.2420304,297.88,0.200160642,Low,0,0.65425,0.813363691
