Latitude,Longitude,Rainfall_today,FloodProbability,FloodRiskLevel,RoadLevel_today,SoilMoisture_today,DrainLevel_today,Rainfall_tomorrow,DrainLevel_tomorrow,RoadLevel_tomorrow,SoilMoisture_tomorrow
26.15084992,88.65942683,299.97,0.99,Severe,0.25234454567503173,0.2224375,0.6083775082813462,224.98,0.47144538038287503,0.1751100911075286,0.259803125
24.40679536,90.19205636,299.92,0.3353014666679692,Moderate,0.0,0.23149999999999998,0.8086652452350818,224.94,0.5516313426413133,0.0,0.27022428882567334
26.95955977,74.88682416,299.91,0.2639377233025684,Low,0.15145799658193046,0.5268125,0.7095675874978797,224.93,0.5272175984217595,0.0843224201880409,0.6848334860320917
29.6941222,94.66638824,299.9,0.4137476882189353,Moderate,0.28927810937580445,0.7631249999999999,0.5854384846819208,224.92,0.4065334149010137,0.20836216631538418,0.95659268323851
32.84058767,88.53639894,299.88,0.99,Severe,0.3692986864636786,0.5998125,0.5398924767228589,224.91,0.41692824303725096,0.2803843305073476,0.7437831304449284
19.12095255,87.18065896,299.85,0.6172451454810499,High,0.49878366269907176,0.387,0.33920171766741647,224.89,0.2864787162704684,0.3969260985449349,0.4490483998577651
15.21496187,68.64526021,299.84,0.8335900403075389,Severe,0.3065574405262345,0.2815625,0.3558430085083858,224.88,0.327295288626726,0.22392414320223808,0.3527950970641835
27.38785416,68.28339471,299.82,0.9289842167110433,Severe,0.23630726816674563,0.9685625,0.4532215488717931,224.86,0.36059080648219577,0.16070227730441147,1.0
10.12755796,68.34826573,299.78,0.348667419637328,Moderate,0.41667511527216844,0.8250625,0.22263138703933494,224.83,0.21070640121998055,0.32304027373788213,1.0
10.04595185,72.9093001,299.74,0.4111252000567464,Moderate,0.25074793687890395,0.2954375,0.7766539473930707,224.8,0.5308202653787915,0.17371274722253416,0.3687499247155303
18.25084678,82.7255413,299.68,0.99,Severe,0.45464946810080753,0.4595625,0.5815803542283934,224.76,0.4040213630602612,0.3572347041737142,0.6074929635412036
35.21598259,70.79126691,299.64,0.3731101244699064,Moderate,0.37291730511833077,0.3159375,0.33768161954270903,224.73,0.24548638544344892,0.2836826915280752,0.3923236801604587
26.1152435,89.94206085,299.6,0.278752714341052,Low,0.0,0.2356875,0.6968697012852836,224.7,0.5489578385050049,0.0,0.3000356467797137
16.00891718,93.97008349,299.56,0.9053416328123676,Severe,0.035456733566197995,0.699875,0.5977389786674754,224.67,0.4645220687323122,0.0,0.8838507383989688
14.77511815,96.28368662,299.53,0.9546385200351364,Severe,0.13494384490253664,0.5344375,0.3979239515573597,224.65,0.33464176772999205,0.06952573483677404,0.6435972578118054
16.27671799,91.84330427,299.52,0.4939832871475684,Moderate,0.19340165401412038,0.5695625,0.8270921492751693,224.64,0.5536008295561958,0.12213940765005613,0.7339908300182238
20.73478916,89.78791157,299.44,0.9204409063986414,Severe,0.17707617329855055,0.6969375,0.3857949650008339,224.58,0.31675605963564296,0.10746034308322347,0.9054710132567341
18.76012413,72.20206112,299.42,0.1928792006079593,Low,0.0,0.5025000000000001,0.5408111827805784,224.56,0.4475160678117319,0.0,0.6068675326695707
35.61554227,92.81311242,299.39,0.99,Severe,0.0,0.782625,0.9525183632609171,224.54,0.6451252017432071,0.0,0.9790109270824073
21.56275516,86.17875502,299.39,0.503687751281241,Moderate,0.0,0.6480625,0.41631633859904493,224.54,0.3465938857129902,0.0,0.8492640520824073
18.90521194,92.95015971,299.38,0.5146218694042377,Moderate,0.06979080824458764,0.4298125,0.4751358086193015,224.54,0.37482654122615694,0.01091409338612366,0.49827655208240734
18.22054921,70.21033341,299.32,0.8590972247780915,Severe,0.15398120142101748,0.144,0.4871769611026684,224.49,0.3926519568884831,0.08669567050921399,0.19459128811449905
35.06898068,82.56653785,299.27,0.9453943394053734,Severe,0.0,0.4695,0.5236338486622752,224.45,0.43634786704073764,0.0,0.6189155769401724
35.52043934,69.17451991,299.26,0.4213071676316492,Moderate,0.0,0.7710625,0.8211110121650693,224.44,0.5597077566271813,0.0,0.9907122741465908
22.9193785,71.10983825,299.25,0.5206133545154752,Moderate,0.22630612708518752,0.8683125,0.5106197464224322,224.44,0.34788843389446716,0.15180032707129054,1.0
